gbest pbestAvg pbestSim popSim numsOfHui
58595.0 52388.832 401.41 174.15863 0
58595.0 52794.035 401.45422 180.0091 0
58595.0 52794.035 401.45422 190.96127 0
58595.0 52962.734 400.1133 191.40665 0
58595.0 53602.4 399.2877 213.53851 0
58595.0 53939.8 398.0908 182.93845 0
58595.0 54242.066 400.0984 223.8633 0
58595.0 54603.832 401.3484 206.57574 0
58595.0 54772.535 401.31805 182.50377 0
58595.0 54772.535 401.31805 188.81776 0
58595.0 54941.234 401.45453 188.91426 0
58595.0 54941.234 401.45453 194.01474 0
58595.0 55303.0 403.356 182.87392 0
58595.0 55303.0 403.356 211.8203 0
58595.0 55557.066 403.33313 173.0584 0
58595.0 55725.766 403.95444 198.74767 0
58595.0 55894.465 404.74243 187.61584 0
58595.0 56063.168 405.6971 197.23256 0
58595.0 56063.168 405.6971 193.83725 0
58595.0 56786.7 412.1214 180.66043 0
58595.0 56955.4 413.56082 187.76517 0
58595.0 56955.4 413.56082 211.45824 0
58595.0 57124.1 415.1668 199.16151 0
58595.0 57485.867 419.19705 179.12105 0
62695.0 57972.934 406.81506 194.9106 0
62695.0 57972.934 406.81506 171.59196 0
62695.0 58246.266 400.11014 189.55559 0
62695.0 58382.934 397.21915 191.32654 0
62695.0 58730.234 396.81335 175.60252 0
62695.0 58866.9 394.51855 181.21045 0
62695.0 58866.9 394.51855 192.20232 0
62695.0 58866.9 394.51855 203.1094 0
62695.0 58866.9 394.51855 192.7948 0
62695.0 59003.566 392.5314 175.42448 0
62695.0 59217.3 391.23126 176.50327 0
62695.0 59353.965 389.84668 181.98822 0
62695.0 59399.0 387.1095 207.2424 0
62695.0 59399.0 387.1095 179.60016 0
62695.0 59535.668 386.33383 202.29813 0
62695.0 59535.668 386.33383 181.74437 0
62695.0 59627.3 388.00064 205.73624 0
62695.0 59627.3 388.00064 187.14366 0
62695.0 59627.3 388.00064 176.68764 0
62695.0 59627.3 388.00064 195.18636 0
62695.0 59627.3 388.00064 184.57372 0
62695.0 59627.3 388.00064 211.61806 0
62695.0 59871.668 389.44318 195.0076 0
62695.0 60008.332 389.28293 228.76926 0
62695.0 60008.332 389.28293 202.95473 0
62695.0 60008.332 389.28293 182.28946 0
62695.0 60008.332 389.28293 188.56866 0
62695.0 60008.332 389.28293 184.60867 0
62695.0 60145.0 389.4304 180.74336 0
62695.0 60145.0 389.4304 172.53423 0
62695.0 60145.0 389.4304 184.513 0
62695.0 60145.0 389.4304 212.64429 0
62695.0 60145.0 389.4304 192.47902 0
62695.0 60145.0 389.4304 200.66042 0
62695.0 60281.668 389.88547 184.9651 0
62695.0 60281.668 389.88547 205.95107 0
62695.0 60373.3 391.88568 206.35182 0
62695.0 60373.3 391.88568 194.15945 0
62695.0 60418.332 390.64835 214.65918 0
62695.0 60555.0 391.71884 175.30057 0
62695.0 60555.0 391.71884 165.05223 0
62695.0 60828.332 394.78293 180.38638 0
62695.0 61010.035 397.20578 228.4817 0
62695.0 61010.035 397.20578 186.64905 0
62695.0 61010.035 397.20578 189.3912 0
62695.0 61010.035 397.20578 165.15364 0
62695.0 61101.668 399.07758 169.10286 0
62695.0 61101.668 399.07758 156.55014 0
62695.0 61238.332 401.6865 207.38594 0
62695.0 61238.332 401.6865 172.09854 0
62695.0 61375.0 404.60306 196.69098 0
62695.0 61375.0 404.60306 183.28464 0
62695.0 61873.434 412.3272 214.46391 0
62695.0 61873.434 412.3272 184.42105 0
62695.0 61965.066 414.38507 207.45703 0
62695.0 62056.7 416.6094 183.30402 0
62695.0 62056.7 416.6094 163.10446 0
62695.0 62056.7 416.6094 201.37659 0
62695.0 62056.7 416.6094 196.26512 0
62695.0 62056.7 416.6094 183.90681 0
62695.0 62193.367 420.14133 179.5704 0
62695.0 62193.367 420.14133 203.424 0
62695.0 62193.367 420.14133 226.33598 0
62695.0 62193.367 420.14133 185.44522 0
62695.0 62193.367 420.14133 193.92232 0
62695.0 62193.367 420.14133 187.28094 0
62695.0 62193.367 420.14133 190.84952 0
62695.0 62193.367 420.14133 200.08347 0
62695.0 62193.367 420.14133 185.01244 0
62695.0 62193.367 420.14133 181.11147 0
62695.0 62193.367 420.14133 176.13351 0
62695.0 62193.367 420.14133 190.32518 0
62695.0 62330.035 423.98093 203.305 0
62695.0 62330.035 423.98093 236.60199 0
62695.0 62330.035 423.98093 219.08578 0
62695.0 62330.035 423.98093 168.20392 0
62695.0 62330.035 423.98093 194.09138 0
62695.0 62330.035 423.98093 210.63008 0
62695.0 62330.035 423.98093 200.39827 0
62695.0 62330.035 423.98093 186.59286 0
62695.0 62330.035 423.98093 194.6506 0
62695.0 62330.035 423.98093 193.87181 0
62695.0 62330.035 423.98093 204.5398 0
62695.0 62330.035 423.98093 202.34122 0
62695.0 62330.035 423.98093 227.60452 0
62695.0 62466.7 428.1282 202.41779 0
62695.0 62466.7 428.1282 195.5482 0
62695.0 62466.7 428.1282 182.27852 0
62695.0 62466.7 428.1282 192.49815 0
62695.0 62466.7 428.1282 186.10942 0
62695.0 62466.7 428.1282 195.45631 0
62695.0 62466.7 428.1282 198.07184 0
62695.0 62466.7 428.1282 198.64053 0
62695.0 62466.7 428.1282 177.55392 0
62695.0 62603.367 432.5832 199.29262 0
62695.0 62603.367 432.5832 187.53423 0
62695.0 62603.367 432.5832 212.4404 0
62695.0 62603.367 432.5832 200.03824 0
62695.0 62603.367 432.5832 183.27722 0
62695.0 62603.367 432.5832 188.67992 0
62695.0 62603.367 432.5832 185.6644 0
62695.0 62603.367 432.5832 198.81264 0
62695.0 62603.367 432.5832 175.29898 0
62695.0 62603.367 432.5832 204.20027 0
62695.0 62603.367 432.5832 206.20963 0
62695.0 62603.367 432.5832 214.56104 0
62695.0 62603.367 432.5832 206.57579 0
62695.0 62603.367 432.5832 173.05302 0
62695.0 62603.367 432.5832 196.40999 0
62695.0 62603.367 432.5832 205.99976 0
62695.0 62603.367 432.5832 193.9859 0
62695.0 62603.367 432.5832 226.40318 0
62695.0 62603.367 432.5832 187.63402 0
62695.0 62603.367 432.5832 199.3082 0
62695.0 62603.367 432.5832 192.52328 0
62695.0 62603.367 432.5832 205.10384 0
62695.0 62603.367 432.5832 188.62984 0
62695.0 62603.367 432.5832 201.44621 0
62695.0 62603.367 432.5832 190.56163 0
62695.0 62603.367 432.5832 194.56941 0
62695.0 62603.367 432.5832 197.24658 0
62695.0 62603.367 432.5832 165.88676 0
62695.0 62603.367 432.5832 193.39568 0
62695.0 62695.0 435.0 209.23563 0
62695.0 62695.0 435.0 200.80301 0
62695.0 62695.0 435.0 185.8164 0
62695.0 62695.0 435.0 225.46954 0
62695.0 62695.0 435.0 199.43951 0
62695.0 62695.0 435.0 175.24025 0
62695.0 62695.0 435.0 202.41359 0
62695.0 62695.0 435.0 181.891 0
62695.0 62695.0 435.0 164.3498 0
62695.0 62695.0 435.0 221.98155 0
62695.0 62695.0 435.0 211.79004 0
62695.0 62695.0 435.0 177.88098 0
62695.0 62695.0 435.0 201.72392 0
62695.0 62695.0 435.0 215.02112 0
62695.0 62695.0 435.0 201.82323 0
62695.0 62695.0 435.0 202.39827 0
62695.0 62695.0 435.0 215.8567 0
62695.0 62695.0 435.0 188.08618 0
62695.0 62695.0 435.0 185.52412 0
62695.0 62695.0 435.0 192.61226 0
62695.0 62695.0 435.0 192.01944 0
62695.0 62695.0 435.0 201.43532 0
62695.0 62695.0 435.0 177.11731 0
62695.0 62695.0 435.0 193.0762 0
62695.0 62695.0 435.0 217.09616 0
62695.0 62695.0 435.0 194.20534 0
62695.0 62695.0 435.0 204.37381 0
62695.0 62695.0 435.0 233.93027 0
62695.0 62695.0 435.0 191.58807 0
62695.0 62695.0 435.0 217.02022 0
62695.0 62695.0 435.0 191.34474 0
62695.0 62695.0 435.0 181.4133 0
62695.0 62695.0 435.0 196.3594 0
62695.0 62695.0 435.0 178.88982 0
62695.0 62695.0 435.0 162.88693 0
62695.0 62695.0 435.0 192.12334 0
62695.0 62695.0 435.0 183.00586 0
62695.0 62695.0 435.0 204.46024 0
62695.0 62695.0 435.0 199.51195 0
62695.0 62695.0 435.0 197.26376 0
62695.0 62695.0 435.0 194.84642 0
62695.0 62695.0 435.0 203.7496 0
62695.0 62695.0 435.0 191.68971 0
62695.0 62695.0 435.0 214.5169 0
62695.0 62695.0 435.0 212.58331 0
62695.0 62695.0 435.0 187.33319 0
62695.0 62695.0 435.0 178.53152 0
62695.0 62695.0 435.0 193.34605 0
