gbest pbestAvg pbestSim popSim numsOfHui
685719.0 480003.3 275.96313 251.45085 0
685719.0 480003.3 275.96313 248.733 0
685719.0 480003.3 275.96313 247.13586 0
685719.0 480003.3 275.96313 259.85294 0
685719.0 480003.3 275.96313 253.02003 0
685719.0 480003.3 275.96313 249.0086 0
685719.0 480217.88 281.11823 261.14343 0
685719.0 480217.88 281.11823 255.82892 0
685719.0 480217.88 281.11823 247.01974 0
685719.0 480217.88 281.11823 253.75714 0
685719.0 480217.88 281.11823 238.05779 0
685719.0 480217.88 281.11823 236.83078 0
685719.0 480217.88 281.11823 250.67966 0
685719.0 480217.88 281.11823 255.41566 0
685719.0 480217.88 281.11823 252.40327 0
685719.0 480996.72 283.2309 267.24973 0
685719.0 480996.72 283.2309 246.07753 0
685719.0 480996.72 283.2309 263.9444 0
685719.0 483752.56 283.2309 259.73788 0
685719.0 483752.56 283.2309 247.86143 0
685719.0 489711.53 285.2539 253.08607 0
685719.0 489711.53 285.2539 255.89076 0
685719.0 489711.53 285.2539 262.14655 0
685719.0 495855.12 285.2539 254.38803 0
685719.0 495855.12 285.2539 255.15012 0
685719.0 495855.12 285.2539 259.40756 0
685719.0 495855.12 285.2539 256.37122 0
685719.0 495855.12 285.2539 265.84952 0
685719.0 495972.6 286.51346 255.48618 0
685719.0 495972.6 286.51346 250.81204 0
685719.0 495972.6 286.51346 257.16586 0
685719.0 502630.28 286.51346 259.42245 0
685719.0 502860.6 288.00378 254.22676 0
685719.0 502860.6 288.00378 260.2867 0
685719.0 502860.6 288.00378 255.41124 0
685719.0 502860.6 288.00378 266.22134 0
685719.0 502860.6 288.00378 256.3416 0
685719.0 502860.6 288.00378 245.57716 0
685719.0 502860.6 288.00378 256.48206 0
685719.0 502860.6 288.00378 258.96707 0
685719.0 502860.6 288.00378 261.81085 0
685719.0 502860.6 288.00378 252.91272 0
685719.0 502860.6 288.00378 260.00623 0
685719.0 502860.6 288.00378 260.52798 0
685719.0 502860.6 288.00378 258.1621 0
685719.0 502860.6 288.00378 256.99664 0
685719.0 502860.6 288.00378 263.48978 0
685719.0 502860.6 288.00378 268.2395 0
685719.0 502860.6 288.00378 264.54684 0
685719.0 502860.6 288.00378 250.5774 0
685719.0 502860.6 288.00378 268.72354 0
685719.0 502860.6 288.00378 262.29065 0
685719.0 502860.6 288.00378 256.21472 0
685719.0 502860.6 288.00378 267.19888 0
685719.0 502860.6 288.00378 271.01816 0
685719.0 502860.6 288.00378 262.8586 0
685719.0 502860.6 288.00378 260.07098 0
685719.0 502860.6 288.00378 256.05188 0
685719.0 502860.6 288.00378 262.76315 0
685719.0 502860.6 288.00378 250.14415 0
685719.0 502860.6 288.00378 253.07982 0
685719.0 502860.6 288.00378 273.67215 0
685719.0 502860.6 288.00378 279.76202 0
685719.0 502860.6 288.00378 257.16528 0
685719.0 502860.6 288.00378 259.9508 0
685719.0 502860.6 288.00378 261.1476 0
685719.0 502860.6 288.00378 251.172 0
685719.0 502860.6 288.00378 255.40843 0
685719.0 502860.6 288.00378 257.964 0
685719.0 502860.6 288.00378 266.70325 0
685719.0 502860.6 288.00378 250.0174 0
685719.0 502860.6 288.00378 255.16504 0
685719.0 502860.6 288.00378 251.44388 0
685719.0 502860.6 288.00378 258.00034 0
685719.0 502860.6 288.00378 250.54997 0
685719.0 502860.6 288.00378 262.45242 0
685719.0 502860.6 288.00378 253.57826 0
685719.0 502860.6 288.00378 258.48785 0
685719.0 502860.6 288.00378 266.33145 0
685719.0 502860.6 288.00378 260.74466 0
685719.0 502860.6 288.00378 259.50537 0
685719.0 502860.6 288.00378 254.93352 0
685719.0 502860.6 288.00378 253.08571 0
685719.0 502860.6 288.00378 254.0291 0
685719.0 502860.6 288.00378 260.30084 0
